Nam,Tinh,TenTinh,Mon,count,mean,national_mean,delta_from_national,z_score,severity
2024,63,Cà Mau,NgoaiNgu,7059,4.3483,5.522,-1.1737,-1.9689,3.1426
2021,63,Cà Mau,NguVan,6565,5.5084,6.4705,-0.9621,-2.179,3.1411
2022,62,Bạc Liêu,NgoaiNgu,5528,4.0463,5.1577,-1.1114,-2.0214,3.1327999999999996
2025,5,Tuyên Quang,VatLy,808,6.2527,6.9851,-0.7324,-2.3996,3.132
2025,11,Hòa Bình,Toan,3065,3.7769,4.7831,-1.0062,-2.1242,3.1304
2023,16,Phú Thọ,VatLy,4123,7.3451,6.5741,0.771,2.3559,3.1269
2023,6,Lào Cai,NgoaiNgu,4225,4.2787,5.4624,-1.1837,-1.9413,3.125
2025,6,Lào Cai,NguVan,4947,5.9927,7.0021,-1.0094,-2.1134,3.1228
2021,44,Lâm Đồng,SinhHoc,5720,6.2827,5.516,0.7667,2.3421,3.1088
2022,64,,NgoaiNgu,6146,4.0596,5.1577,-1.0981,-1.9972,3.0953
2023,23,Hà Nam,Toan,9469,5.14,6.2506,-1.1106,-1.9812,3.0918
2022,44,Lâm Đồng,NgoaiNgu,10374,6.2542,5.1577,1.0965,1.9943,3.0907999999999998
2022,36,Phú Yên,NguVan,4655,5.3732,6.508,-1.1348,-1.9254,3.0602
2021,62,Bạc Liêu,Toan,5881,5.5672,6.6138,-1.0466,-2.0135,3.0601000000000003
2022,19,Hải Dương,VatLy,5493,7.504,6.724,0.78,2.2748,3.0548
2022,57,An Giang,SinhHoc,3126,5.7735,5.0197,0.7538,2.2997,3.0535
2021,10,Yên Bái,Toan,9224,5.5715,6.6138,-1.0423,-2.0052,3.0475
2024,6,Lào Cai,NgoaiNgu,4499,4.3845,5.522,-1.1375,-1.9081,3.0456
2024,14,Quảng Ninh,NgoaiNgu,10454,4.3848,5.522,-1.1372,-1.9076,3.0448
2025,5,Tuyên Quang,HoaHoc,603,5.2284,6.0649,-0.8365,-2.2021,3.0386
2025,14,Quảng Ninh,SinhHoc,1346,4.7828,5.7783,-0.9955,-2.0429,3.0384
2023,6,Lào Cai,NguVan,4935,5.7855,6.8584,-1.0729,-1.961,3.0339
2025,6,Lào Cai,VatLy,848,6.277,6.9851,-0.7081,-2.32,3.0281
2024,44,Lâm Đồng,NgoaiNgu,12316,6.6528,5.522,1.1308,1.8969,3.0277000000000003
2024,57,An Giang,SinhHoc,3423,7.0117,6.2847,0.727,2.2984,3.0254
2025,62,Bạc Liêu,Toan,6843,3.8125,4.7831,-0.9706,-2.049,3.0196
2025,61,Sóc Trăng,HoaHoc,2816,5.2363,6.0649,-0.8286,-2.1813,3.0099
2021,25,Ninh Bình,HoaHoc,10408,7.175,6.6306,0.5444,2.4605,3.0049
2023,44,Lâm Đồng,SinhHoc,6578,6.9995,6.3953,0.6042,2.3885,2.9927
2024,16,Phú Thọ,SinhHoc,3879,7.0023,6.2847,0.7176,2.2686,2.9862
2024,45,Bình Phước,NguVan,6232,6.1182,7.2313,-1.1131,-1.8703,2.9834
2022,63,Cà Mau,NguVan,6733,5.4059,6.508,-1.1021,-1.8699,2.972
2025,64,,NgoaiNgu,1106,4.8332,5.4055,-0.5723,-2.3808,2.9531
2022,44,Lâm Đồng,SinhHoc,5597,5.7455,5.0197,0.7258,2.2143,2.9401
2023,19,Hải Dương,VatLy,5941,7.2977,6.5741,0.7236,2.211,2.9345999999999997
2024,23,Hà Nam,Toan,9565,5.4337,6.4473,-1.0136,-1.9038,2.9173999999999998
2022,63,Cà Mau,NgoaiNgu,6387,4.1244,5.1577,-1.0333,-1.8794,2.9127
2023,10,Yên Bái,Toan,9047,5.2061,6.2506,-1.0445,-1.8633,2.9078
2025,58,Kiên Giang,NgoaiNgu,1530,4.8425,5.4055,-0.563,-2.3421,2.9051
2023,11,Hòa Bình,NgoaiNgu,2399,4.3622,5.4624,-1.1002,-1.8043,2.9045
2023,63,Cà Mau,NgoaiNgu,6789,4.3625,5.4624,-1.0999,-1.8038,2.9037
2023,7,Điện Biên,NgoaiNgu,3452,4.3647,5.4624,-1.0977,-1.8002,2.8979
2021,4,Bắc Kạn,NguVan,12332,5.5906,6.4705,-0.8799,-1.9928,2.8727
2022,62,Bạc Liêu,Toan,5980,5.4812,6.4663,-0.9851,-1.8655,2.8506
2022,9,Sơn La,HoaHoc,1053,7.3974,6.7041,0.6933,2.1546,2.8479
2023,58,Kiên Giang,NgoaiNgu,8464,4.3837,5.4624,-1.0787,-1.7691,2.8478
2023,58,Kiên Giang,VatLy,2235,5.8724,6.5741,-0.7017,-2.1441,2.8457999999999997
2025,30,Quảng Trị,NguVan,16894,7.9135,7.0021,0.9114,1.9082,2.8196
2024,23,Hà Nam,NgoaiNgu,8437,4.469,5.522,-1.053,-1.7664,2.8194
2023,11,Hòa Bình,Toan,2720,5.2385,6.2506,-1.0121,-1.8055,2.8176
2025,61,Sóc Trăng,NgoaiNgu,2194,4.8614,5.4055,-0.5441,-2.2635,2.8076
2023,64,,NgoaiNgu,6335,4.4013,5.4624,-1.0611,-1.7402,2.8013
2023,23,Hà Nam,NgoaiNgu,8284,4.4175,5.4624,-1.0449,-1.7136,2.7584999999999997
2022,27,Nghệ An,VatLy,3320,7.4279,6.724,0.7039,2.0528,2.7567
2025,61,Sóc Trăng,VatLy,3016,6.3424,6.9851,-0.6427,-2.1057,2.7484
2025,58,Kiên Giang,VatLy,2151,6.3426,6.9851,-0.6425,-2.1051,2.7476000000000003
2023,24,Nam Định,NguVan,9520,7.8283,6.8584,0.9699,1.7728,2.7427
2022,58,Kiên Giang,NgoaiNgu,8711,4.186,5.1577,-0.9717,-1.7673,2.739
2023,9,Sơn La,SinhHoc,1036,6.9464,6.3953,0.5511,2.1786,2.7297
2021,63,Cà Mau,NgoaiNgu,6266,4.7693,5.8499,-1.0806,-1.6353,2.7159
2024,30,Quảng Trị,HoaHoc,4157,7.3301,6.681,0.6491,2.0651,2.7142
2025,23,Hà Nam,Toan,10488,3.9107,4.7831,-0.8724,-1.8417,2.7140999999999997
2024,61,Sóc Trăng,HoaHoc,4625,6.0324,6.681,-0.6486,-2.0635,2.7121
2022,10,Yên Bái,Toan,9343,5.5302,6.4663,-0.9361,-1.7727,2.7088
2022,25,Ninh Bình,Toan,19667,7.4022,6.4663,0.9359,1.7723,2.7081999999999997
2022,61,Sóc Trăng,VatLy,4729,6.034,6.724,-0.69,-2.0123,2.7023
2025,44,Lâm Đồng,SinhHoc,906,6.6614,5.7783,0.8831,1.8123,2.6954000000000002
2022,6,Lào Cai,NgoaiNgu,4297,4.2015,5.1577,-0.9562,-1.7392,2.6954000000000002
2024,61,Sóc Trăng,VatLy,4611,5.9895,6.6669,-0.6774,-2.0173,2.6947
2022,11,Hòa Bình,NgoaiNgu,2509,4.2053,5.1577,-0.9524,-1.7322,2.6846
2021,7,Điện Biên,NguVan,3507,5.6503,6.4705,-0.8202,-1.8576,2.6778
2024,10,Yên Bái,Toan,9222,5.518,6.4473,-0.9293,-1.7455,2.6748000000000003
2025,25,Ninh Bình,Toan,23209,5.6418,4.7831,0.8587,1.8128,2.6715
2023,61,Sóc Trăng,VatLy,4462,5.917,6.5741,-0.6571,-2.0078,2.6649000000000003
2025,54,Trà Vinh,NgoaiNgu,3319,4.8909,5.4055,-0.5146,-2.1408,2.6554
2022,11,Hòa Bình,Toan,2888,5.5515,6.4663,-0.9148,-1.7324,2.6471999999999998
2023,13,Lạng Sơn,Toan,8003,5.3045,6.2506,-0.9461,-1.6877,2.6338
2025,10,Yên Bái,Toan,9517,3.9386,4.7831,-0.8445,-1.7828,2.6273
2021,39,Bình Thuận,NguVan,9342,5.6671,6.4705,-0.8034,-1.8196,2.623
2025,36,Phú Yên,NguVan,5104,6.1589,7.0021,-0.8432,-1.7654,2.6086
2024,64,,NgoaiNgu,6674,4.5486,5.522,-0.9734,-1.6329,2.6063
2025,45,Bình Phước,NgoaiNgu,1617,4.9015,5.4055,-0.504,-2.0967,2.6007
2025,49,Bà Rịa - Vũng Tàu,NgoaiNgu,5212,4.9042,5.4055,-0.5013,-2.0854,2.5867
2023,16,Phú Thọ,NguVan,13899,7.7683,6.8584,0.9099,1.6631,2.573
2022,23,Hà Nam,NgoaiNgu,8344,4.247,5.1577,-0.9107,-1.6564,2.5671
2023,25,Ninh Bình,HoaHoc,9778,7.2545,6.7447,0.5098,2.0521,2.5618999999999996
2021,11,Hòa Bình,Toan,2678,5.7379,6.6138,-0.8759,-1.6851,2.561
2023,10,Yên Bái,NgoaiNgu,7335,4.4928,5.4624,-0.9696,-1.5901,2.5597000000000003
2023,61,Sóc Trăng,HoaHoc,4476,6.2376,6.7447,-0.5071,-2.0412,2.5483
2025,40,Kon Tum,NguVan,21937,6.1801,7.0021,-0.822,-1.721,2.543
2022,39,Bình Thuận,NguVan,10755,5.5682,6.508,-0.9398,-1.5946,2.5343999999999998
2025,16,Phú Thọ,SinhHoc,540,6.6082,5.7783,0.8299,1.7031,2.533
2025,63,Cà Mau,NgoaiNgu,1409,4.9177,5.4055,-0.4878,-2.0293,2.5171
2023,30,Quảng Trị,NguVan,16992,7.7473,6.8584,0.8889,1.6247,2.5136000000000003
2024,27,Nghệ An,NguVan,11643,8.1687,7.2313,0.9374,1.5751,2.5125
2022,7,Điện Biên,NgoaiNgu,3167,4.2674,5.1577,-0.8903,-1.6193,2.5096
2022,16,Phú Thọ,NguVan,13691,7.4367,6.508,0.9287,1.5757,2.5044
2021,58,Kiên Giang,NgoaiNgu,8011,4.8649,5.8499,-0.985,-1.4906,2.4756
2025,13,Lạng Sơn,SinhHoc,885,4.976,5.7783,-0.8023,-1.6465,2.4488000000000003
