Nam,MonX,MonY,n_pair,correlation
2025,NguVan,SinhHoc,68592,0.3042
2025,NguVan,VatLy,345016,0.2106
2025,SinhHoc,DiaLy,1442,0.6408
2025,SinhHoc,LichSu,12345,0.4829
2025,Toan,DiaLy,472055,0.5545
2025,Toan,HoaHoc,240129,0.7283
2025,Toan,LichSu,476789,0.518
2025,Toan,NgoaiNgu,357550,0.4833
2025,Toan,NguVan,1121914,0.3827
2025,Toan,SinhHoc,69894,0.7392
2025,Toan,VatLy,347588,0.7094
2025,VatLy,DiaLy,5194,0.4911
2025,VatLy,HoaHoc,162206,0.7455
2025,VatLy,LichSu,16895,0.4392
2025,VatLy,SinhHoc,4795,0.5012
