Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
2,Hà Giang,NguVan,5,6.4793,7.1408,0.6615,0.307,0.4857,96190
55,Vĩnh Long,VatLy,5,6.4232,6.9257,0.5025,0.2187,0.4812,4068
40,Kon Tum,NguVan,5,6.1085,6.1801,0.0716,0.2261,0.4759,21937
33,Quảng Nam,NguVan,5,6.3468,7.1938,0.847,0.418,0.4707,13523
26,Thanh Hóa,NguVan,5,6.4763,6.9998,0.5235,0.379,0.4703,23706
35,Bình Định,NgoaiNgu,5,5.5045,5.0422,-0.4623,0.2331,0.4702,3829
39,Bình Thuận,VatLy,5,6.3284,6.7941,0.4657,0.193,0.4615,3083
40,Kon Tum,VatLy,5,6.4218,6.7093,0.2875,0.2003,0.4604,6341
32,Đà Nẵng,HoaHoc,5,6.6157,6.2589,-0.3568,0.2185,0.4592,1771
24,Nam Định,VatLy,5,6.9789,7.3871,0.4082,0.1932,0.4588,3310
29,Quảng Bình,NgoaiNgu,5,4.9736,5.4303,0.4567,0.3411,0.4508,8221
41,Gia Lai,VatLy,5,6.2921,6.8008,0.5087,0.2111,0.4465,5417
21,Hưng Yên,HoaHoc,5,6.7353,6.4429,-0.2924,0.2722,0.444,5313
38,Ninh Thuận,NguVan,5,5.9187,6.6155,0.6968,0.3105,0.4383,15568
18,Bắc Ninh,NguVan,5,6.7166,7.0951,0.3785,0.3172,0.4342,23576
8,Lai Châu,NguVan,5,6.5336,6.8561,0.3225,0.2795,0.4322,8967
12,Thái Nguyên,VatLy,5,6.6223,6.941,0.3187,0.1738,0.4312,3918
42,Đắk Lắk,NguVan,5,6.6776,6.5244,-0.1532,0.2404,0.4303,16568
34,Quảng Ngãi,NguVan,5,6.0443,6.8073,0.763,0.33,0.4245,17925
8,Lai Châu,VatLy,5,6.5648,6.8244,0.2596,0.171,0.4244,1480
31,Thừa Thiên Huế,NguVan,5,6.162,6.8994,0.7374,0.3572,0.4228,11525
